E_1, Read, 3
B, -1, -1
E_3, Write, 0
E_3, Read, 1
E_3, Read, 2
E_3, Read, 9
B, -1, -1
E_4, Write, 0
E_4, Read, 1
E_4, Read, 2
E_5, Write, 0
E_5, Read, 1
E_5, Read, 2
E_5, Read, 15
B, -1, -1
E_6, Write, 2
E_6, Write, 5
E_6, Write, 7
B, -1, -1
E_7, Read, 1
E_7, Read, 2
E_7, Write, 3
E_7, Write, 6
E_7, Write, 8
B, -1, -1
E_8, Read, 1
E_8, Read, 2
E_8, Write, 3
E_9, Read, 1
E_9, Read, 2
